編號,大分類,小分類,分類內序號,中文_簡體,English,Français,Deutsch
758,服飾健康,頭飾,5,帽子（阳性名词）,hat (n.),le chapeau,der Hut
759,服飾健康,頭飾,6,发帶,headband,le bandeau,Haarband
760,服飾健康,頭飾,7,发夾,hair clip,la barrette,Haarspange
761,服飾健康,頭飾,8,口罩,mask,le masque,Maske
762,服飾健康,腳飾,1,絲襪,tights,le collant,Strumpfhose
763,服飾健康,腳飾,2,短筒袜（阴性名词复数）,socks (n.pl.),les chaussettes,die Socken
764,服飾健康,腳飾,3,鞋子,shoes,les chaussures,Schuhe
765,服飾健康,腳飾,4,靴子,boots,les bottes,Stiefel
766,服飾健康,包包,1,包,bag,le sac,Tasche
767,服飾健康,包包,2,手提包,handbag,le sac à main,Handtasche
768,服飾健康,包包,3,背包,backpack,le sac à dos,Rucksack
769,服飾健康,衣服,1,衣服,clothing,le vêtement,Kleidung
770,服飾健康,衣服,2,衣物,clothes,les habits,Kleider
771,服飾健康,衣服,3,服装(阳性名词),"costume, suit (n.)",le costume,der Anzug
772,服飾健康,衣服,4,连衣裙（阴性名词）,dress (n.),la robe,das Kleid
773,服飾健康,衣服,5,襯衫,shirt,la chemise,Hemd
774,服飾健康,衣服,6,T恤,T-shirt,le t-shirt,T-Shirt
775,服飾健康,衣服,7,裙子（阴性名词）,skirt (n.),la jupe,der Rock
776,服飾健康,衣服,8,上装（阴性名词）,jacket (n.),la veste,die Jacke
777,服飾健康,衣服,9,大衣，外套（阳性名词）,coat (n.),le manteau,der Mantel
778,服飾健康,保暖,1,套衫（阳性名词）,jumper (n.),le pull,der Pullover
779,服飾健康,保暖,2,背心,vest / cardigan,le gilet,die Weste
780,服飾健康,保暖,3,羽絨衣,down jacket,la doudoune,Daunenjacke
781,服飾健康,保暖,4,毛衣,sweater,le chandail,Pullover
782,服飾健康,保暖,5,圍脖,neck warmer,le tour de cou,Schlauchschal
783,服飾健康,褲子,1,长裤(阳性名词),trousers (n.pl.),le pantalon,die Hose
784,服飾健康,褲子,2,牛仔裤,jeans,le jean,Jeans
785,服飾健康,褲子,3,短裤,shorts,le short,Shorts
786,服飾健康,化妝保養,1,美容品,beauty products,les cosmétiques,Kosmetikprodukte
787,服飾健康,化妝保養,2,化妆品,makeup,le maquillage,Make-up
788,服飾健康,化妝保養,3,口红,lipstick,le rouge à lèvres,Lippenstift
789,服飾健康,化妝保養,4,指甲油,nail polish,le vernis à ongles,Nagellack
790,服飾健康,化妝保養,5,香水(阳性名词),perfume (n.),le parfum,das Parfum
791,服飾健康,化妝保養,6,乳液,lotion,la lotion,Lotion
792,服飾健康,化妝保養,7,面霜,face cream,la crème,Gesichtscreme
793,服飾健康,化妝保養,8,防曬乳,sunscreen,la crème solaire,Sonnencreme
794,服飾健康,化妝保養,9,洗面乳,facial cleanser,le nettoyant visage,Gesichtsreiniger
795,服飾健康,醫藥,1,药,medicine,le médicament,Medikament
796,服飾健康,醫藥,2,处方籤,prescription,l’ordonnance,Rezept
797,服飾健康,醫藥,3,药水,syrup,le sirop,Sirup
798,服飾健康,醫藥,4,药片,tablet,le comprimé,Tablette
799,服飾健康,醫藥,5,保險套,condom,le préservatif,Kondom
800,服飾健康,醫藥,6,药膏,ointment,la pommade,Salbe
801,服飾健康,醫藥,7,繃帶,bandage,le pansement,der Verband
802,服飾健康,醫藥,8,体溫计,thermometer,le thermomètre,Thermometer
803,服飾健康,醫藥,9,口罩,mask,le masque,Maske
804,服飾健康,醫藥,10,药店,pharmacy,la pharmacie,Apotheke
805,飲食相關,數量單位,1,数量,quantity,la quantité,Menge
806,飲食相關,數量單位,2,品質,quality,la qualité,Qualität
807,飲食相關,數量單位,3,一瓶,a bottle of,une bouteille de,eine Flasche
808,飲食相關,數量單位,4,一小盒,a box of,une boîte de,eine Schachtel
809,飲食相關,數量單位,5,一箱,a carton of,un carton de,ein Karton
810,飲食相關,數量單位,6,一片,a slice of,une tranche de,eine Scheibe
811,飲食相關,數量單位,7,一塊,a piece of,un morceau de,ein Stück
812,飲食相關,數量單位,8,一小袋,a small bag of,un sachet de,ein Beutel
813,飲食相關,數量單位,9,一公斤,a kilo of,un kilo de,ein Kilo
814,飲食相關,數量單位,10,一公克,a gram of,un gramme de,ein Gramm
815,飲食相關,數量單位,11,一公升,a liter of,un litre de,ein Liter
816,飲食相關,數量單位,12,一杯,a glass of,un verre de,ein Glas
817,飲食相關,數量單位,13,一碗,a bowl of,un bol de,eine Schüssel
818,飲食相關,數量單位,14,一包,a packet of,un paquet de,eine Packung
819,飲食相關,數量單位,15,一打,a dozen of,une douzaine de,ein Dutzend
820,飲食相關,廚具餐具,1,平底鍋,frying pan,la poêle,Pfanne
821,飲食相關,廚具餐具,2,鍋子,saucepan / pot,la casserole,Topf
822,飲食相關,廚具餐具,3,餐巾,napkin,la serviette,Serviette
823,飲食相關,廚具餐具,4,叉子,fork,la fourchette,Gabel
824,飲食相關,廚具餐具,5,刀子,knife,le couteau,Messer
825,飲食相關,廚具餐具,6,湯匙,spoon,la cuillère,Löffel
826,飲食相關,廚具餐具,7,盤子,plate,l’assiette,Teller
827,飲食相關,廚具餐具,8,玻璃（阳性名词）,glass (n.),le verre,das Glas
828,飲食相關,廚具餐具,9,碗,bowl,le bol,Schüssel
829,飲食相關,廚具餐具,10,筷子,chopsticks,les baguettes,Essstäbchen
830,飲食相關,廚具餐具,11,盘子（阳性名词）,dish (n.),le plat,das Gericht
831,飲食相關,餐,1,餐,meal,le repas,Mahlzeit
832,飲食相關,餐,2,早餐,breakfast,le petit-déjeuner,Frühstück
833,飲食相關,餐,3,吃早饭（动词）,eat breakfast,prendre le petit-déjeuner,frühstücken
834,飲食相關,餐,4,晚餐（阳性名词）,dinner (n.),le dîner,das Abendessen
835,飲食相關,餐,5,入口（阴性名词）,"entrance, starter (n.)",l’entrée,die Vorspeise
836,飲食相關,餐,6,主菜,main course,le plat principal,Hauptgericht
837,飲食相關,餐,7,餐后点心（阳性名词）,dessert (n.),le dessert,die Nachspeise
838,飲食相關,餐,8,點心,snack,le goûter,der Snack
839,飲食相關,餐,9,菜单（阳性名词）,menu (n.),le menu,das Menü
840,飲食相關,飲料,1,饮料（阴性名词）,drink (n.),la boisson,das Getränk
841,飲食相關,飲料,2,水,water,l’eau,Wasser
842,飲食相關,飲料,3,气泡水,sparkling water,l’eau gazeuse,Sprudelwasser
843,飲食相關,飲料,4,茶（阳性名词）,tea (n.),le thé,der Tee
844,飲食相關,飲料,5,咖啡（阳性名词）,"coffee, café (n.)",le café,der Kaffee
845,飲食相關,飲料,6,奶（阳性名词）,milk (n.),le lait,die Milch
846,飲食相關,飲料,7,熱巧克力,hot chocolate,le chocolat chaud,heiße Schokolade
847,飲食相關,飲料,8,果汁,juice,le jus,Saft
848,飲食相關,飲料,9,柠檬水（阴性名词）,lemonade (n.),la limonade,die Limonade
849,飲食相關,飲料,10,啤酒（阴性名词）,beer (n.),la bière,das Bier
850,飲食相關,飲料,11,红酒,red wine,le vin rouge,Rotwein
851,飲食相關,飲料,12,白酒,white wine,le vin blanc,Weißwein
852,飲食相關,飲料,13,湯,soup,la soupe,Suppe
853,飲食相關,主食,1,米（阳性名词）,rice (n.),le riz,der Reis
854,飲食相關,主食,2,面,pasta,les pâtes,die Nudeln
855,飲食相關,主食,3,面條,noodles,les nouilles,Nudeln
856,飲食相關,主食,4,面包（阳性名词）,bread (n.),le pain,das Brot
857,飲食相關,主食,5,棒，棍（阴性名词）,baguette (n.),la baguette,das Baguette
858,飲食相關,主食,6,土豆（阴性名词）,potato (n.),la pomme de terre,die Kartoffel
859,飲食相關,主食,7,三明治,sandwich,le sandwich,Sandwich
860,飲食相關,主食,8,披薩,pizza,la pizza,Pizza
861,飲食相關,主食,9,可麗餅,crêpe,la crêpe,Crêpe
862,飲食相關,主食,10,穀物,cereal,les céréales,das Getreide
863,飲食相關,鹹食,1,食物,food,la nourriture,das Essen
864,飲食相關,鹹食,2,湯,soup,la soupe,Suppe
865,飲食相關,鹹食,3,沙拉（阴性名词）,"salad, lettuce (n.)",la salade,der Salat
866,飲食相關,鹹食,4,牛排,steak,le steak,Steak
867,飲食相關,鹹食,5,起司,cheese,le fromage,Käse
868,飲食相關,鹹食,6,火腿（阳性名词）,ham (n.),le jambon,der Schinken
869,飲食相關,鹹食,7,鸡蛋（阳性名词）,egg (n.),l’œuf,das Ei
870,飲食相關,甜食,1,爆米花,popcorn,le pop-corn,Popcorn
871,飲食相關,甜食,2,蛋挞（阴性名词）,tart (n.),la tarte,die Tarte
872,飲食相關,甜食,3,酸奶（阳性名词）,yoghurt (n.),le yaourt,der Joghurt
873,飲食相關,甜食,4,蛋糕（阳性名词）,cake (n.),le gâteau,der Kuchen
874,飲食相關,甜食,5,餅乾,cookie / biscuit,le biscuit,Keks
875,飲食相關,甜食,6,巧克力（阳性名词）,chocolate (n.),le chocolat,die Schokolade
876,飲食相關,甜食,7,糖果,candy,le bonbon,das Bonbon
877,飲食相關,甜食,8,冰（阴性名词）,ice cream (n.),la glace,das Eis
878,飲食相關,調料香料,1,调味料,spice / seasoning,l’épice,Gewürz
879,飲食相關,調料香料,2,调味汁（阴性名词）,sauce (n.),la sauce,die Sauce
880,飲食相關,調料香料,3,鹽,salt,le sel,Salz
881,飲食相關,調料香料,4,糖,sugar,le sucre,Zucker
882,飲食相關,調料香料,5,胡椒,pepper,le poivre,Pfeffer
883,飲食相關,調料香料,6,辣椒,chili pepper,le piment,Chili
884,飲食相關,調料香料,7,芥末（阴性名词）,mustard (n.),la moutarde,der Senf
885,飲食相關,調料香料,8,番茄醬,ketchup,le ketchup,Ketchup
886,飲食相關,調料香料,9,蛋黄酱（阴性名词）,mayonnaise (n.),la mayonnaise,die Mayonnaise
887,飲食相關,調料香料,10,蜂蜜,honey,le miel,Honig
888,飲食相關,調料香料,11,醋,vinegar,le vinaigre,Essig
889,飲食相關,調料香料,12,油,oil,l’huile,Öl
890,飲食相關,調料香料,13,奶油,butter,le beurre,Butter
891,飲食相關,調料香料,14,大蒜,garlic,l’ail,Knoblauch
892,飲食相關,調料香料,15,洋葱（阳性名词）,onion (n.),l’oignon,die Zwiebel
893,飲食相關,調料香料,16,香草（阴性名词）,vanilla (n.),la vanille,die Vanille
894,飲食相關,調料香料,17,肉桂,cinnamon,la cannelle,Zimt
895,飲食相關,調料香料,18,薑,ginger,le gingembre,Ingwer
896,飲食相關,調料香料,19,羅勒,basil,le basilic,Basilikum
897,飲食相關,水果,1,水果（阳性名词）,fruit (n.),le fruit,das Obst
898,飲食相關,水果,2,酪梨,avocado,l’avocat,Avocado
899,飲食相關,水果,3,桃子,peach,la pêche,Pfirsich
900,飲食相關,水果,4,無花果,fig,la figue,Feige
901,飲食相關,水果,5,苹果（阴性名词）,apple (n.),la pomme,der Apfel
902,飲食相關,水果,6,香蕉,banana,la banane,Banane
903,飲食相關,水果,7,梨子,pear,la poire,Birne
904,飲食相關,水果,8,鳳梨,pineapple,l’ananas,Ananas
905,飲食相關,水果,9,甜瓜,melon,le melon,Melone
906,飲食相關,水果,10,草莓（阴性名词）,strawberry (n.),la fraise,die Erdbeere
907,飲食相關,水果,11,葡萄,grape,le raisin,Traube
908,飲食相關,水果,12,橘子,orange,l’orange,Orange
909,飲食相關,水果,13,檸檬,lemon,le citron,Zitrone
910,飲食相關,水果,14,樱桃（阴性名词）,cherry (n.),la cerise,die Kirsche
911,飲食相關,水果,15,西瓜,watermelon,la pastèque,Wassermelone
912,飲食相關,水果,16,奇異果,kiwi,le kiwi,Kiwi
913,飲食相關,水果,17,芒果,mango,la mangue,Mango
914,飲食相關,水果,18,覆盆子,raspberry,la framboise,Himbeere
915,飲食相關,水果,19,藍莓,blueberry,la myrtille,Blaubeere
916,飲食相關,水果,20,椰子,coconut,la noix de coco,Kokosnuss
917,飲食相關,青菜,1,蔬菜（阳性名词）,vegetable (n.),le légume,das Gemüse
918,飲食相關,青菜,2,玉米,corn,le maïs,Mais
919,飲食相關,青菜,3,甜椒,bell pepper,le poivron,Paprika
920,飲食相關,青菜,4,黃豆,soybean,le soja,Sojabohne
921,飲食相關,青菜,5,韮蔥,leek,le poireau,Lauch
922,飲食相關,青菜,6,捲心菜,cabbage,le chou,Kohl
923,飲食相關,青菜,7,蘑菇（阳性名词）,mushroom (n.),le champignon,der Pilz
924,飲食相關,青菜,8,茄子,eggplant,l’aubergine,Aubergine
925,飲食相關,青菜,9,菠菜,spinach,l’épinard,Spinat
926,飲食相關,青菜,10,洋葱（阳性名词）,onion (n.),l’oignon,die Zwiebel
927,飲食相關,青菜,11,番茄（阴性名词）,tomato (n.),la tomate,die Tomate
928,飲食相關,青菜,12,胡蘿蔔,carrot,la carotte,Karotte
929,飲食相關,青菜,13,黄瓜（阳性名词）,cucumber (n.),le concombre,die Gurke
930,飲食相關,青菜,14,土豆（阴性名词）,potato (n.),la pomme de terre,die Kartoffel
931,飲食相關,青菜,15,萵苣,lettuce,la laitue,Kopfsalat
932,飲食相關,青菜,16,花椰菜,broccoli,le brocoli,Brokkoli
933,飲食相關,青菜,17,豆子,bean,le haricot,Bohne
934,飲食相關,青菜,18,蒜头,garlic,l’ail,Knoblauch
935,飲食相關,青菜,19,南瓜,squash / pumpkin,la courge,Kürbis
936,飲食相關,動物,1,动物,animal,l’animal,Tier
937,飲食相關,動物,2,肉类（阴性名词）,meat (n.),la viande,das Fleisch
938,飲食相關,動物,3,狗（阳性名词）,dog (n.),le chien,der Hund
939,飲食相關,動物,4,貓,cat,le chat,Katze
940,飲食相關,動物,5,老鼠/滑鼠,mouse,la souris,Maus
941,飲食相關,動物,6,豬,pig,le cochon,Schwein
942,飲食相關,動物,7,猪（阳性名词）,pork (n.),le porc,das Schweinefleisch
943,飲食相關,動物,8,牛,cow,la vache,Kuh
944,飲食相關,動物,9,牛，牛肉（阳性名词）,beef (n.),le bœuf,das Rindfleisch
945,飲食相關,動物,10,羊,sheep,le mouton,Schaf
946,飲食相關,動物,11,兔子,rabbit,le lapin,Kaninchen
947,飲食相關,動物,12,马（阳性名词）,horse (n.),le cheval,das Pferd
948,飲食相關,動物,13,鱼（阳性名词）,fish (n.),le poisson,der Fisch
949,飲食相關,動物,14,小鸡（阳性名词）,chicken (n.),le poulet,das Huhn
950,飲食相關,鳥禽,1,鸟,bird,l’oiseau,Vogel
951,飲食相關,鳥禽,2,鴨,duck,le canard,Ente
952,飲食相關,鳥禽,3,母雞,hen,la poule,Henne
953,飲食相關,鳥禽,4,公雞,rooster,le coq,Hahn
954,飲食相關,鳥禽,5,火雞,turkey,la dinde,Truthahn
955,飲食相關,鳥禽,6,鵝,goose,l’oie,Gans
956,飲食相關,海鮮,1,海鲜,seafood,les fruits de mer,Meeresfrüchte
957,飲食相關,海鮮,2,鱼（阳性名词）,fish (n.),le poisson,der Fisch
958,飲食相關,海鮮,3,蝦子,shrimp,la crevette,Garnele
959,飲食相關,海鮮,4,螃蟹,crab,le crabe,Krabbe
960,飲食相關,海鮮,5,貝類,shellfish,le coquillage,die Muschel
961,飲食相關,植物,1,花,flower,la fleur,Blume
962,飲食相關,植物,2,植物（阴性名词）,plant (n.),la plante,die Pflanze
963,飲食相關,植物,3,樹,tree,l’arbre,Baum
964,飲食相關,植物,4,叶子（阴性名词）,leaf (n.),la feuille,das Blatt
965,概念情緒,意見,1,想法（阴性名词）,idea (n.),l’idée,die Idee
966,概念情緒,意見,2,建议，意见（阳性名词）,advice (n.),le conseil,der Rat
967,概念情緒,意見,3,建议（阴性名词）,proposal (n.),la proposition,der Vorschlag
968,概念情緒,意見,4,同意,agreement,l’accord,Einverständnis
969,概念情緒,信念情緒,1,感情（阴性名词）,emotion (n.),l’émotion,die Emotion
970,概念情緒,信念情緒,2,悲傷,sadness,la tristesse,Traurigkeit
971,概念情緒,信念情緒,3,力量,strength,la force,Kraft
972,概念情緒,信念情緒,4,睡眠,sleep,le sommeil,der Schlaf
973,概念情緒,信念情緒,5,熱情,passion,la passion,Leidenschaft
974,概念情緒,信念情緒,6,信心,confidence,la confiance,Vertrauen
975,概念情緒,生活,1,生活,life,la vie,Leben
976,概念情緒,生活,2,休息（动词）,rest (v.),se reposer,sich ausruhen
977,概念情緒,其他,1,個性,personality,le caractère,Charakter
978,概念情緒,其他,2,真相,truth,la vérité,Wahrheit
979,概念情緒,其他,3,美貌,beauty,la beauté,Schönheit
980,概念情緒,其他,4,狀況,situation,la situation,Situation
981,概念情緒,其他,5,准备（阴性名词）,preparation (n.),la préparation,die Vorbereitung
982,概念情緒,其他,6,部分（阴性名词）,"party, match (n.)",la partie,der Teil
983,概念情緒,其他,7,交換,exchange,l’échange,Austausch
984,概念情緒,其他,8,生產,production,la production,Produktion
985,概念情緒,其他,9,幫助,help,l’aide,Hilfe
986,概念情緒,其他,10,选择（阳性名词）,choice (n.),le choix,die Auswahl
987,概念情緒,其他,11,相遇,meeting / encounter,la rencontre,Begegnung
988,概念情緒,其他,12,方法（阴性名词）,method (n.),la méthode,die Methode
